"Plot Title: MD_e5_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Coupler Detached (LGR S/N: 10517223)","Bad Battery (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
386,06/21/21 14:30:00,8.978,7233.4,,,,,,
387,06/21/21 15:30:00,8.879,3788.9,,,,,,
388,06/21/21 16:30:00,8.978,6544.5,,,,,,
389,06/21/21 17:30:00,8.779,3272.2,,,,,,
390,06/21/21 18:30:00,8.680,1722.2,,,,,,
391,06/21/21 19:30:00,8.779,1808.3,,,,,,
392,06/21/21 20:30:00,8.779,613.5,,,,,,
393,06/21/21 21:30:00,8.680,139.9,,,,,,
394,06/21/21 22:30:00,8.680,53.8,,,,,,
395,06/21/21 23:30:00,8.680,0.0,,,,,,
396,06/22/21 00:30:00,8.680,0.0,,,,,,
397,06/22/21 01:30:00,8.581,0.0,,,,,,
398,06/22/21 02:30:00,8.581,21.5,,,,,,
399,06/22/21 03:30:00,8.581,150.7,,,,,,
400,06/22/21 04:30:00,8.481,333.7,,,,,,
401,06/22/21 05:30:00,8.481,947.2,,,,,,
402,06/22/21 06:30:00,8.481,1550.0,,,,,,
403,06/22/21 07:30:00,8.581,4477.8,,,,,,
404,06/22/21 08:30:00,8.680,4994.5,,,,,,
405,06/22/21 09:30:00,8.680,3616.7,,,,,,
406,06/22/21 10:30:00,8.581,764.2,,,,,,
407,06/22/21 11:30:00,8.779,6544.5,,,,,,
408,06/22/21 12:30:00,8.680,4650.0,,,,,,
409,06/22/21 13:30:00,8.879,4994.5,,,,,,
410,06/22/21 14:30:00,9.275,10333.4,,,,,,
411,06/22/21 15:30:00,9.571,7233.4,,,,,,
412,06/22/21 16:30:00,9.669,11711.2,,,,,,
413,06/22/21 17:30:00,9.866,11022.3,,,,,,
414,06/22/21 18:30:00,9.472,9644.5,,,,,,
415,06/22/21 19:30:00,9.275,2066.7,,,,,,
416,06/22/21 20:30:00,9.176,1227.1,,,,,,
417,06/22/21 21:30:00,9.373,1377.8,,,,,,
418,06/22/21 22:30:00,9.275,75.3,,,,,,
419,06/22/21 23:30:00,9.176,96.9,,,,,,
420,06/23/21 00:30:00,9.176,53.8,,,,,,
421,06/23/21 01:30:00,9.077,21.5,,,,,,
422,06/23/21 02:30:00,9.077,64.6,,,,,,
423,06/23/21 03:30:00,8.879,75.3,,,,,,
424,06/23/21 04:30:00,8.779,473.6,,,,,,
425,06/23/21 05:30:00,8.779,549.0,,,,,,
426,06/23/21 06:30:00,8.978,2066.7,,,,,,
427,06/23/21 07:30:00,8.879,1722.2,,,,,,
428,06/23/21 08:30:00,8.879,2325.0,,,,,,
429,06/23/21 09:30:00,9.077,4477.8,,,,,,
430,06/23/21 10:30:00,8.879,2497.2,,,,,,
431,06/23/21 11:30:00,8.978,4133.4,,,,,,
432,06/23/21 12:30:00,8.978,4650.0,,,,,,
433,06/23/21 13:30:00,9.176,7233.4,,,,,,
434,06/23/21 14:30:00,9.472,14466.8,,,,,,
435,06/23/21 15:30:00,9.275,4650.0,,,,,,
436,06/23/21 16:30:00,9.275,5511.1,,,,,,
437,06/23/21 17:30:00,9.176,2583.4,,,,,,
438,06/23/21 18:30:00,9.176,3100.0,,,,,,
439,06/23/21 19:30:00,9.275,4650.0,,,,,,
440,06/23/21 20:30:00,9.176,2497.2,,,,,,
