"Plot Title: 10517223"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testT)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testL)","Coupler Detached (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
483,06/18/14 11:00:00,19.472,170845.6,,
484,06/18/14 11:30:00,15.091,30311.3,,
485,06/18/14 12:00:00,15.091,33066.9,,
486,06/18/14 12:30:00,15.855,44089.2,,
487,06/18/14 13:00:00,15.091,30311.3,,
488,06/18/14 13:30:00,15.951,35822.5,,
489,06/18/14 14:00:00,18.806,68889.3,,
490,06/18/14 14:30:00,16.903,41333.6,,
491,06/18/14 15:00:00,15.855,24800.2,,
492,06/18/14 15:30:00,15.855,24800.2,,
493,06/18/14 16:00:00,19.187,68889.3,,
494,06/18/14 16:30:00,19.377,68889.3,,
495,06/18/14 17:00:00,18.996,41333.6,,
496,06/18/14 17:30:00,16.332,28933.5,,
497,06/18/14 18:00:00,15.855,19977.9,,
498,06/18/14 18:30:00,17.475,13777.9,,
499,06/18/14 19:00:00,17.475,26178.0,,
500,06/18/14 19:30:00,16.523,6544.5,,
501,06/18/14 20:00:00,16.237,15844.5,,
502,06/18/14 20:30:00,14.134,6200.0,,
503,06/18/14 21:00:00,13.558,3272.2,,
504,06/18/14 21:30:00,12.594,1722.2,,
505,06/18/14 22:00:00,12.013,1980.6,,
506,06/18/14 22:30:00,11.334,1550.0,,
507,06/18/14 23:00:00,10.944,678.1,,
508,06/18/14 23:30:00,10.553,419.8,,
509,06/19/14 00:00:00,10.357,581.3,,
510,06/19/14 00:30:00,9.866,602.8,,
511,06/19/14 01:00:00,9.866,484.4,,
512,06/19/14 01:30:00,9.768,258.3,,
513,06/19/14 02:00:00,9.768,204.5,,
514,06/19/14 02:30:00,9.669,312.2,,
515,06/19/14 03:00:00,9.768,1377.8,,
516,06/19/14 03:30:00,9.571,764.2,,
517,06/19/14 04:00:00,9.373,1334.7,,
518,06/19/14 04:30:00,9.768,4305.6,,
519,06/19/14 05:00:00,9.866,4994.5,,
520,06/19/14 05:30:00,10.161,3444.5,,
521,06/19/14 06:00:00,9.965,4822.3,,
522,06/19/14 06:30:00,10.259,5166.7,,
523,06/19/14 07:00:00,10.553,9300.1,,
524,06/19/14 07:30:00,11.334,18600.1,,
525,06/19/14 08:00:00,13.750,33066.9,,
526,06/19/14 08:30:00,13.076,28933.5,,
527,06/19/14 09:00:00,17.570,44089.2,,
