"Plot Title: MD_st33_frame_3Aug20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Host Connected (LGR S/N: 10517215)","Coupler Attached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
472,10/12/20 06:00:00,3.472,0.0,,,,
473,10/12/20 08:00:00,3.472,0.0,,,,
474,10/12/20 10:00:00,3.472,32.3,,,,
475,10/12/20 12:00:00,3.472,96.9,,,,
476,10/12/20 14:00:00,3.578,129.2,,,,
477,10/12/20 16:00:00,3.578,32.3,,,,
478,10/12/20 18:00:00,3.578,0.0,,,,
479,10/12/20 20:00:00,3.578,0.0,,,,
480,10/12/20 22:00:00,3.578,0.0,,,,
481,10/13/20 00:00:00,3.472,0.0,,,,
482,10/13/20 02:00:00,3.472,0.0,,,,
483,10/13/20 04:00:00,3.472,0.0,,,,
484,10/13/20 06:00:00,3.367,0.0,,,,
485,10/13/20 08:00:00,3.261,0.0,,,,
486,10/13/20 10:00:00,3.367,96.9,,,,
487,10/13/20 12:00:00,3.261,118.4,,,,
488,10/13/20 14:00:00,3.683,495.1,,,,
489,10/13/20 16:00:00,3.683,118.4,,,,
490,10/13/20 18:00:00,3.683,0.0,,,,
491,10/13/20 20:00:00,3.683,0.0,,,,
492,10/13/20 22:00:00,3.578,0.0,,,,
