"Plot Title: E2 pelagic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Good Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Coupler Detached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
432,08/06/20 11:30:00,12.304,11711.2,,,,,,
433,08/06/20 12:00:00,12.401,11022.3,,,,,,
434,08/06/20 12:30:00,12.497,15155.7,,,,,,
435,08/06/20 13:00:00,12.690,20666.8,,,,,,
436,08/06/20 13:30:00,12.594,5166.7,,,,,,
437,08/06/20 14:00:00,12.883,18600.1,,,,,,
438,08/06/20 14:30:00,12.883,11022.3,,,,,,
439,08/06/20 15:00:00,12.690,8266.7,,,,,,
440,08/06/20 15:30:00,12.787,5166.7,,,,,,
441,08/06/20 16:00:00,13.076,9644.5,,,,,,
442,08/06/20 16:30:00,12.883,4650.0,,,,,,
443,08/06/20 17:00:00,12.980,7233.4,,,,,,
444,08/06/20 17:30:00,12.883,4650.0,,,,,,
