Plot Title: Reyk_Pelagic_17Jul18								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)"	"Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)"	Coupler Attached (LGR S/N: 10349970)	Coupler Detached (LGR S/N: 10349970)	Host Connected (LGR S/N: 10349970)	Stopped (LGR S/N: 10349970)	End Of File (LGR S/N: 10349970)
539	7/23/2018 1:30	13.846	0					
540	7/23/2018 1:45	13.75	0					
541	7/23/2018 2:00	13.75	0					
542	7/23/2018 2:15	13.75	0					
543	7/23/2018 2:30	13.75	0					
544	7/23/2018 2:45	13.75	0					
545	7/23/2018 3:00	13.75	0					
546	7/23/2018 3:15	13.654	0					
547	7/23/2018 3:30	13.654	0					
548	7/23/2018 3:45	13.654	0					
549	7/23/2018 4:00	13.654	0					
550	7/23/2018 4:15	13.654	0					
551	7/23/2018 4:30	13.654	0					
552	7/23/2018 4:45	13.654	0					
553	7/23/2018 5:00	13.654	0					
554	7/23/2018 5:15	13.654	0					
555	7/23/2018 5:30	13.654	0					
556	7/23/2018 5:45	13.654	0					
557	7/23/2018 6:00	13.654	10.8					
558	7/23/2018 6:15	13.654	21.5					
559	7/23/2018 6:30	13.654	53.8					
560	7/23/2018 6:45	13.654	64.6					
561	7/23/2018 7:00	13.654	96.9					
562	7/23/2018 7:15	13.654	107.6					
563	7/23/2018 7:30	13.654	118.4					
564	7/23/2018 7:45	13.654	118.4					
565	7/23/2018 8:00	13.654	183					
566	7/23/2018 8:15	13.654	215.3					
567	7/23/2018 8:30	13.654	258.3					
568	7/23/2018 8:45	13.654	279.9					
569	7/23/2018 9:00	13.654	312.2					
570	7/23/2018 9:15	13.654	452.1					
571	7/23/2018 9:30	13.654	290.6					
572	7/23/2018 9:45	13.654	366					
573	7/23/2018 10:00	13.654	409					
574	7/23/2018 10:15	13.654	301.4					
575	7/23/2018 10:30	13.654	409					
576	7/23/2018 10:45	13.654	322.9					
577	7/23/2018 11:00	13.654	355.2					
578	7/23/2018 11:15	13.654	559.7					
579	7/23/2018 11:30	13.654	613.5					
580	7/23/2018 11:45	13.654	398.3					
581	7/23/2018 12:00	13.654	505.9					
582	7/23/2018 12:15	13.654	387.5					
583	7/23/2018 12:30	13.654	387.5					
584	7/23/2018 12:45	13.654	409					
585	7/23/2018 13:00	13.654	484.4					
586	7/23/2018 13:15	13.654	452.1					
587	7/23/2018 13:30	13.654	516.7					
588	7/23/2018 13:45	13.654	419.8					
589	7/23/2018 14:00	13.654	527.4					
590	7/23/2018 14:15	13.654	602.8					
591	7/23/2018 14:30	13.654	667.4					
592	7/23/2018 14:45	13.654	624.3					
593	7/23/2018 15:00	13.654	538.2					
594	7/23/2018 15:15	13.654	452.1					
