"Plot Title: MD_E6_LOW_20AUG19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Bad Battery (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
382,09/21/19 06:05:00 PM,7.983,0.0,,
383,09/21/19 08:05:00 PM,7.983,0.0,,
384,09/21/19 10:05:00 PM,7.983,0.0,,
385,09/22/19 12:05:00 AM,7.983,0.0,,
386,09/22/19 02:05:00 AM,7.882,0.0,,
387,09/22/19 04:05:00 AM,7.782,0.0,,
388,09/22/19 06:05:00 AM,7.782,0.0,,
389,09/22/19 08:05:00 AM,7.782,0.0,,
390,09/22/19 10:05:00 AM,7.882,0.0,,
391,09/22/19 12:05:00 PM,7.983,21.5,,
392,09/22/19 02:05:00 PM,7.983,21.5,,
393,09/22/19 04:05:00 PM,7.882,0.0,,
394,09/22/19 06:05:00 PM,7.983,0.0,,
395,09/22/19 08:05:00 PM,8.182,0.0,,
396,09/22/19 10:05:00 PM,8.282,0.0,,
397,09/23/19 12:05:00 AM,8.282,0.0,,
398,09/23/19 02:05:00 AM,8.282,0.0,,
399,09/23/19 04:05:00 AM,8.382,0.0,,
400,09/23/19 06:05:00 AM,8.382,0.0,,
401,09/23/19 08:05:00 AM,8.382,0.0,,
402,09/23/19 10:05:00 AM,8.481,53.8,,
403,09/23/19 12:05:00 PM,8.581,129.2,,
404,09/23/19 02:05:00 PM,8.680,75.3,,
405,09/23/19 04:05:00 PM,8.581,0.0,,
406,09/23/19 06:05:00 PM,8.680,0.0,,
407,09/23/19 08:05:00 PM,8.680,0.0,,
408,09/23/19 10:05:00 PM,8.581,0.0,,
409,09/24/19 12:05:00 AM,7.983,0.0,,
410,09/24/19 02:05:00 AM,7.983,0.0,,
411,09/24/19 04:05:00 AM,8.082,0.0,,
412,09/24/19 06:05:00 AM,8.182,0.0,,
413,09/24/19 08:05:00 AM,8.382,10.8,,
414,09/24/19 10:05:00 AM,8.779,183.0,,
415,09/24/19 12:05:00 PM,8.879,193.8,,
416,09/24/19 02:05:00 PM,9.077,269.1,,
417,09/24/19 04:05:00 PM,9.077,32.3,,
418,09/24/19 06:05:00 PM,9.077,0.0,,
419,09/24/19 08:05:00 PM,9.077,0.0,,
