Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
376,7/28/2020 9:30,8.779,23422.4,,,,
377,7/28/2020 10:00,10.063,26178,,,,
378,7/28/2020 10:30,11.334,33066.9,,,,
379,7/28/2020 11:00,10.748,30311.3,,,,
380,7/28/2020 11:30,13.269,57867,,,,
381,7/28/2020 12:00,14.517,52355.9,,,,
382,7/28/2020 12:30,14.996,68889.3,,,,
383,7/28/2020 13:00,17.665,74400.5,,,,
384,7/28/2020 13:30,17.379,60622.6,,,,
385,7/28/2020 14:00,19.662,57867,,,,
386,7/28/2020 14:30,19.662,77156.1,,,,
387,7/28/2020 15:00,21.569,88178.4,,,,
388,7/28/2020 15:30,22.812,77156.1,,,,
389,7/28/2020 16:00,31.472,93689.5,,,,
390,7/28/2020 16:30,30.457,63378.2,,,,
391,7/28/2020 17:00,26.585,55111.5,,,,
392,7/28/2020 17:30,29.953,39955.8,,,,
393,7/28/2020 18:00,27.37,34444.7,,,,
394,7/28/2020 18:30,22.908,41333.6,,,,
395,7/28/2020 19:00,12.98,20666.8,,,,
396,7/28/2020 19:30,10.259,12400.1,,,,
397,7/28/2020 20:00,9.768,7577.8,,,,
398,7/28/2020 20:30,9.669,8611.2,,,,
399,7/28/2020 21:00,9.176,6200,,,,
400,7/28/2020 21:30,10.455,12400.1,,,,
401,7/28/2020 22:00,8.779,4477.8,,,,
402,7/28/2020 22:30,7.682,1087.2,,,,
403,7/28/2020 23:00,7.481,376.7,,,,
404,7/28/2020 23:30,7.682,86.1,,,,
405,7/29/2020 0:00,7.682,10.8,,,,
406,7/29/2020 0:30,7.381,0,,,,
407,7/29/2020 1:00,7.381,0,,,,
408,7/29/2020 1:30,7.381,0,,,,
409,7/29/2020 2:00,7.381,0,,,,
410,7/29/2020 2:30,7.28,0,,,,
411,7/29/2020 3:00,7.179,0,,,,
412,7/29/2020 3:30,7.079,107.6,,,,
413,7/29/2020 4:00,7.381,290.6,,,,
414,7/29/2020 4:30,7.179,570.5,,,,
415,7/29/2020 5:00,7.28,893.4,,,,
416,7/29/2020 5:30,7.682,3616.7,,,,
417,7/29/2020 6:00,12.013,26178,,,,
418,7/29/2020 6:30,11.528,13777.9,,,,
419,7/29/2020 7:00,10.944,21355.7,,,,
420,7/29/2020 7:30,13.846,38578,,,,
421,7/29/2020 8:00,16.332,31689.1,,,,
422,7/29/2020 8:30,14.996,30311.3,,,,
423,7/29/2020 9:00,17.094,42711.4,,,,
424,7/29/2020 9:30,17.189,44089.2,,,,
425,7/29/2020 10:00,18.616,55111.5,,,,
426,7/29/2020 10:30,20.043,52355.9,,,,
427,7/29/2020 11:00,19.092,34444.7,,,,
428,7/29/2020 11:30,20.138,66133.8,,,,
429,7/29/2020 12:00,17.76,49600.3,,,,
430,7/29/2020 12:30,16.903,57867,,,,
431,7/29/2020 13:00,19.472,115734.1,,,,
432,7/29/2020 13:30,19.092,60622.6,,,,
433,7/29/2020 14:00,17.665,68889.3,,,,
434,7/29/2020 14:30,18.996,55111.5,,,,
435,7/29/2020 15:00,18.14,55111.5,,,,
436,7/29/2020 15:30,22.525,104711.8,,,,
437,7/29/2020 16:00,22.429,60622.6,,,,
438,7/29/2020 16:30,18.331,88178.4,,,,
439,7/29/2020 17:00,17.57,28933.5,,,,
440,7/29/2020 17:30,21.091,79911.6,,,,
441,7/29/2020 18:00,19.758,63378.2,,,,
442,7/29/2020 18:30,23.581,46844.8,,,,
443,7/29/2020 19:00,20.234,12400.1,,,,
444,7/29/2020 19:30,18.331,21355.7,,,,
445,7/29/2020 20:00,13.654,11711.2,,,,
446,7/29/2020 20:30,22.046,21355.7,,,,
447,7/29/2020 21:00,15.282,12400.1,,,,
448,7/29/2020 21:30,12.883,10333.4,,,,
449,7/29/2020 22:00,10.357,1334.7,,,,
450,7/29/2020 22:30,10.161,624.3,,,,
451,7/29/2020 23:00,9.571,215.3,,,,
452,7/29/2020 23:30,9.176,43.1,,,,
453,7/30/2020 0:00,9.275,10.8,,,,
454,7/30/2020 0:30,8.581,0,,,,
455,7/30/2020 1:00,7.983,0,,,,
456,7/30/2020 1:30,7.782,0,,,,
457,7/30/2020 2:00,7.381,0,,,,
458,7/30/2020 2:30,6.877,10.8,,,,
459,7/30/2020 3:00,7.28,64.6,,,,
460,7/30/2020 3:30,6.471,269.1,,,,
461,7/30/2020 4:00,7.481,764.2,,,,
462,7/30/2020 4:30,7.882,2066.7,,,,
463,7/30/2020 5:00,8.581,4650,,,,
464,7/30/2020 5:30,9.077,5511.1,,,,
