"Plot Title: MD_E5Pel_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Coupler Detached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
438,06/22/19 16:30:00,11.431,12400.1,,,,,
439,06/22/19 17:00:00,11.625,13777.9,,,,,
440,06/22/19 17:30:00,11.528,10677.8,,,,,
441,06/22/19 18:00:00,11.722,9644.5,,,,,
442,06/22/19 18:30:00,11.819,26178.0,,,,,
443,06/22/19 19:00:00,11.722,31689.1,,,,,
444,06/22/19 19:30:00,11.625,14466.8,,,,,
445,06/22/19 20:00:00,11.528,10333.4,,,,,
446,06/22/19 20:30:00,11.431,14466.8,,,,,
447,06/22/19 21:00:00,11.334,17911.2,,,,,
448,06/22/19 21:30:00,11.139,1463.9,,,,,
449,06/22/19 22:00:00,11.041,839.6,,,,,
450,06/22/19 22:30:00,11.139,688.9,,,,,
451,06/22/19 23:00:00,11.041,527.4,,,,,
452,06/22/19 23:30:00,11.041,312.2,,,,,
453,06/23/19 00:00:00,11.041,215.3,,,,,
454,06/23/19 00:30:00,10.944,129.2,,,,,
455,06/23/19 01:00:00,10.944,107.6,,,,,
456,06/23/19 01:30:00,10.944,118.4,,,,,
457,06/23/19 02:00:00,10.944,129.2,,,,,
458,06/23/19 02:30:00,10.944,247.6,,,,,
459,06/23/19 03:00:00,10.846,430.6,,,,,
460,06/23/19 03:30:00,10.748,645.8,,,,,
